subject_id,setup,position,pupil,car,tb,house,sc,tc,tsb,recorded_tasks,successful_tasks,failed_tasks,not_recorded_tasks,overall_success
69907732,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
6184491,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
21053630,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
27194039,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
27011494,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
51230424,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
68635455,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
74765700,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
96434938,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
98811232,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
21347602,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
21843109,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
41271188,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
39877408,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
62434514,head_mounted,standing,severe_issues,success,success,success,success,success,success,6,6,0,0,1
46309944,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
34055055,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
98655811,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
26300024,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
98208696,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
64547051,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
96783900,head_mounted,standing,slight_issues,success,success,success,success,success,success,6,6,0,0,1
245213,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
49201083,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
68685044,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
64261249,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
54301029,head_mounted,standing,slight_issues,success,success,success,success,success,success,6,6,0,0,1
56727984,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
28239045,head_mounted,standing,slight_issues,success,success,success,success,success,success,6,6,0,0,1
6581999,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
26239669,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
30587763,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
32407868,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
59755226,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
34608206,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
43953972,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
37931545,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
38679962,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
71095083,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
59704756,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
56667891,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
27093216,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
57836695,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
58905878,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
40812801,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
71663905,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
30356638,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
98752467,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
67056507,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
