subject_id,setup,position,pupil,task,recorded,success,steps_expected,steps_checked,matched_steps,failure_reason
62449968,head_mounted,sitting,impossible,car,0,0,7,0,0,not_recorded
62449968,head_mounted,sitting,impossible,tb,0,0,8,0,0,not_recorded
62449968,head_mounted,sitting,impossible,house,0,0,10,0,0,not_recorded
62449968,head_mounted,sitting,impossible,sc,0,0,10,0,0,not_recorded
62449968,head_mounted,sitting,impossible,tc,0,0,10,0,0,not_recorded
62449968,head_mounted,sitting,impossible,tsb,0,0,13,0,0,not_recorded
41804101,head_mounted,sitting,impossible,car,0,0,7,0,0,not_recorded
41804101,head_mounted,sitting,impossible,tb,0,0,8,0,0,not_recorded
41804101,head_mounted,sitting,impossible,house,0,0,10,0,0,not_recorded
41804101,head_mounted,sitting,impossible,sc,0,0,10,0,0,not_recorded
41804101,head_mounted,sitting,impossible,tc,0,0,10,0,0,not_recorded
41804101,head_mounted,sitting,impossible,tsb,0,0,13,0,0,not_recorded
36594506,head_mounted,sitting,impossible,car,0,0,7,0,0,not_recorded
36594506,head_mounted,sitting,impossible,tb,0,0,8,0,0,not_recorded
36594506,head_mounted,sitting,impossible,house,0,0,10,0,0,not_recorded
36594506,head_mounted,sitting,impossible,sc,0,0,10,0,0,not_recorded
36594506,head_mounted,sitting,impossible,tc,0,0,10,0,0,not_recorded
36594506,head_mounted,sitting,impossible,tsb,0,0,13,0,0,not_recorded
69907732,head_mounted,sitting,no_issue,car,1,1,7,7,24,
69907732,head_mounted,sitting,no_issue,tb,1,1,8,8,24,
69907732,head_mounted,sitting,no_issue,house,1,1,10,10,24,
69907732,head_mounted,sitting,no_issue,sc,1,1,10,10,24,
69907732,head_mounted,sitting,no_issue,tc,1,1,10,10,24,
69907732,head_mounted,sitting,no_issue,tsb,1,1,13,13,24,
6184491,head_mounted,sitting,slight_issues,car,1,1,7,7,24,
6184491,head_mounted,sitting,slight_issues,tb,1,1,8,8,24,
6184491,head_mounted,sitting,slight_issues,house,1,1,10,10,24,
6184491,head_mounted,sitting,slight_issues,sc,1,1,10,10,24,
6184491,head_mounted,sitting,slight_issues,tc,1,1,10,10,24,
6184491,head_mounted,sitting,slight_issues,tsb,1,1,13,13,24,
19125832,head_mounted,sitting,no_issue,car,0,0,7,0,0,not_recorded
19125832,head_mounted,sitting,no_issue,tb,1,1,8,8,24,
19125832,head_mounted,sitting,no_issue,house,1,1,10,10,24,
19125832,head_mounted,sitting,no_issue,sc,1,1,10,10,24,
19125832,head_mounted,sitting,no_issue,tc,1,1,10,10,24,
19125832,head_mounted,sitting,no_issue,tsb,1,1,13,13,24,
21053630,head_mounted,sitting,no_issue,car,1,1,7,7,24,
21053630,head_mounted,sitting,no_issue,tb,1,1,8,8,24,
21053630,head_mounted,sitting,no_issue,house,1,1,10,10,24,
21053630,head_mounted,sitting,no_issue,sc,1,1,10,10,24,
21053630,head_mounted,sitting,no_issue,tc,1,1,10,10,24,
21053630,head_mounted,sitting,no_issue,tsb,1,1,13,13,24,
21153321,head_mounted,sitting,slight_issues,car,1,0,7,7,0,unused_block_wrong_position(block=0)
21153321,head_mounted,sitting,slight_issues,tb,1,1,8,8,24,
21153321,head_mounted,sitting,slight_issues,house,1,1,10,10,24,
21153321,head_mounted,sitting,slight_issues,sc,1,1,10,10,24,
21153321,head_mounted,sitting,slight_issues,tc,1,1,10,10,24,
21153321,head_mounted,sitting,slight_issues,tsb,1,1,13,13,24,
