sequence_id,event,cluster_name,old_label,new_label,action,source_file,output_file,reason
10383544_sc_1_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_sc_3_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_sc_5_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_sc_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_sc_7_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_sc_8_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_sc_9_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tc_1_grasp_12_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tc_2_grasp_13_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tc_3_grasp_14_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tc_4_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_tc_5_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tc_7_grasp_8_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/10383544_tc_7_grasp_8_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/10383544_tc_7_grasp_8_1.jsonl,ok
10383544_tc_8_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tsb_10_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_tsb_11_grasp_0_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_tsb_12_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tsb_1_grasp_13_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tsb_3_grasp_18_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/10383544_tsb_3_grasp_18_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/10383544_tsb_3_grasp_18_1.jsonl,ok
